public | auth_group                               | table | helios
public | auth_group_permissions                   | table | helios
public | auth_permission                          | table | helios
public | auth_user                                | table | helios
public | auth_user_groups                         | table | helios
public | auth_user_user_permissions               | table | helios
public | celery_taskmeta                          | table | helios
public | celery_tasksetmeta                       | table | helios
public | django_admin_log                         | table | helios
public | django_content_type                      | table | helios
public | django_migrations                        | table | helios
public | django_session                           | table | helios
public | django_site                              | table | helios
public | djcelery_crontabschedule                 | table | helios
public | djcelery_intervalschedule                | table | helios
public | djcelery_periodictask                    | table | helios
public | djcelery_periodictasks                   | table | helios
public | djcelery_taskstate                       | table | helios
public | djcelery_workerstate                     | table | helios
public | djkombu_message                          | table | helios
public | djkombu_queue                            | table | helios
public | helios_auditedballot                     | table | helios
public | helios_auth_user                         | table | helios
public | helios_castvote                          | table | helios
public | helios_election                          | table | helios
public | helios_electionlog                       | table | helios
public | helios_trustee                           | table | helios
public | helios_voter                             | table | helios
public | helios_voterfile                         | table | helios
public | heliosinstitution_institution            | table | helios
public | heliosinstitution_institutionuserprofile | table | helios
public | helioslog_helioslog                      | table | helios
